time/ms;on
1250931;1
1252047;0
1252791;1
1253486;0
1254612;1
1255764;0
1256134;1
1257184;0
1258354;1
1259454;0
1260447;1
1261427;0
1261682;1
1261892;0
1262885;1
1263859;0
1264161;1
1264802;0
1265285;1
1265647;0
1265999;1
1266901;0
1268030;1
1268888;0
1269759;1
1269997;0
1270173;1
1270611;0
1271653;1
1272104;0
1272641;1
1273819;0
1274557;1
1275407;0
1276209;1
1277273;0
1278414;1
1278682;0
1279220;1
1279714;0
1279916;1
1280344;0
1281317;1
1282268;0
1282759;1
1283758;0
1284684;1
1285540;0
1286214;1
1287328;0
1287594;1
1288763;0
1289848;1
1290961;0
1291854;1
1292221;0
1292679;1
1293491;0
1293830;1
1294596;0
1295675;1
1295946;0
1296796;1
1297625;0
1298671;1
1299164;0
1299905;1
1300840;0
1301989;1
1302650;0
1303743;1
1304620;0
1304760;1
1305809;0
1306534;1
1306893;0
1307375;1
1307907;0
1308966;1
1309688;0
1310004;1
1310144;0
1310676;1
1311044;0
1311928;1
1313031;0
1313175;1
1313706;0
1314835;1
1315185;0
1316213;1
1316565;0
1317266;1
1318399;0
1319118;1
1319840;0
1320606;1
1320855;0
1321844;1
1322565;0
1323419;1
1324068;0
1324840;1
1325508;0
1325764;1
1326478;0
1326908;1
1328039;0
1328683;1
1328818;0
1329989;1
1331170;0
1331435;1
1332572;0
1333300;1
1333885;0
1334904;1
1336092;0
1336382;1
1336728;0
1337159;1
1337937;0
1338977;1
1339213;0
1339475;1
1339966;0
1340376;1
1341389;0
1342166;1
1342454;0
1343423;1
1344574;0
1345620;1
1345746;0
1346010;1
1346780;0
1347358;1
1348088;0
1348365;1
1348626;0
1349788;1
1350774;0
1351632;1
1352792;0
1352988;1
1353616;0
1354212;1
1354602;0
1354926;1
1356121;0
1356244;1
1357325;0
1357486;1
1358211;0
1358886;1
1359420;0
1359615;1
1360755;0
1361290;1
1362449;0
1362800;1
1363575;0
1364559;1
1365397;0
1365923;1
1366634;0
1367533;1
1368476;0
1368989;1
1369545;0
1370175;1
1370653;0
1371642;1
1372148;0
1372317;1
1373018;0
1373745;1
1373987;0
1374154;1
1375119;0
1375595;1
1376319;0
1377437;1
1377752;0
1378376;1
1379114;0
1379387;1
1380068;0
1380838;1
1381426;0
1382352;1
1382540;0
1383664;1
1384477;0
1385483;1
1386362;0
1386780;1
1387529;0
1387754;1
1388070;0
1388549;1
1389101;0
1389253;1
1389940;0
1391017;1
1392163;0
1392444;1
1393166;0
1393965;1
1394756;0
1395630;1
1395828;0
1396133;1
1396371;0
1397559;1
1398379;0
1399507;1
1400588;0
1400771;1
1400874;0
1401232;1
1401370;0
1402435;1
1402906;0
1404046;1
1404454;0
1404737;1
1405531;0
1405970;1
1406644;0
1407209;1
1407756;0
1408593;1
1409682;0
1410295;1
1410858;0
1411022;1
1412204;0
1412659;1
1413565;0
1414196;1
1414966;0
1415609;1
1416175;0
1417033;1
1418201;0
1418878;1
1419054;0
1419931;1
1420267;0
1421161;1
1421800;0
1422865;1
1423950;0
1424260;1
1424472;0
1425476;1
1426581;0
1427600;1
1428184;0
1429325;1
1429665;0
1429957;1
1430368;0
1431423;1
1432198;0
1432641;1
1433686;0
1434594;1
1435521;0
1436558;1
1437545;0
1438593;1
1438784;0
1439016;1
1439737;0
1440724;1
1441076;0
1442234;1
1442993;0
1443192;1
1443633;0
1444816;1
1445948;0
1446690;1
1446795;0
1447269;1
1447465;0
1448267;1
1449344;0
1450445;1
1450791;0
1451419;1
1451767;0
1451975;1
1452335;0
1452541;1
1452692;0
1453758;1
1454914;0
1455789;1
1455978;0
1456845;1
1457821;0
1458669;1
1459507;0
1460663;1
1461378;0
1462011;1
1462729;0
1463413;1
1464345;0
1464923;1
1465111;0
1466131;1
1466279;0
1466759;1
1467187;0
1467731;1
1468461;0
1468710;1
1468934;0
1470068;1
1470245;0
1470771;1
1471215;0
1471747;1
1472574;0
1473196;1
1473861;0
1474497;1
1474824;0
