time/ms;on
1419930;1
1420265;0
1421160;1
1421799;0
1422864;1
1423949;0
1424259;1
1424471;0
1425475;1
1426580;0
1427599;1
1428183;0
1429324;1
1429664;0
1429956;1
1430367;0
1431422;1
1432197;0
1432640;1
1433685;0
1434593;1
1435520;0
1436557;1
1437544;0
1438592;1
1438783;0
1439015;1
1439736;0
1440723;1
1441075;0
1442233;1
1442992;0
1443191;1
1443632;0
1444815;1
1445947;0
1446689;1
1446793;0
1447268;1
1447464;0
1448265;1
1449343;0
1450444;1
1450790;0
1451418;1
1451766;0
1451974;1
1452334;0
1452540;1
1452691;0
1453757;1
1454913;0
1455788;1
1455977;0
1456844;1
1457820;0
1458668;1
1459506;0
1460662;1
1461377;0
1462010;1
1462728;0
1463412;1
1464344;0
1464922;1
1465110;0
1466130;1
1466278;0
1466758;1
1467186;0
1467730;1
1468460;0
1468709;1
1468933;0
1470067;1
1470244;0
1470770;1
1471214;0
1471747;1
1472573;0
1473195;1
1473860;0
1474496;1
1474823;0
1475774;1
1475886;0
1476615;1
1477502;0
1477836;1
1478436;0
1479064;1
1479302;0
1479950;1
1481084;0
1481236;1
1482116;0
1483244;1
1483536;0
1484361;1
1485486;0
1485945;1
1486527;0
1487042;1
1487542;0
1487923;1
1488736;0
1489097;1
1489344;0
1489612;1
1490471;0
1490932;1
1491124;0
1491304;1
1491728;0
1492042;1
1492867;0
1493592;1
1494706;0
1495115;1
1495984;0
1496091;1
1497073;0
1497607;1
1498071;0
1498875;1
1499220;0
1500014;1
1500215;0
1500415;1
1500615;0
1500815;1
1501015;0
1501215;1
1501415;0
1501615;1
1501815;0
1505015;1
1505353;0
1505887;1
1506751;0
1507830;1
1509018;0
1509709;1
1510849;0
1511035;1
1511891;0
1512035;1
1512402;0
1512703;1
1513520;0
1514350;1
1515168;0
1516286;1
1516613;0
1517296;1
1517561;0
1517753;1
1517974;0
1518527;1
1519635;0
1519852;1
1520825;0
1521125;1
1521614;0
1522528;1
1523191;0
1524084;1
1524764;0
1525192;1
1526226;0
1527363;1
1528260;0
1528778;1
1529130;0
1530129;1
1530763;0
1531585;1
1531887;0
1532633;1
1532902;0
1533528;1
1534284;0
1535181;1
1536183;0
1537316;1
1537951;0
1538390;1
1538889;0
1540009;1
1540722;0
1541707;1
1542463;0
1542929;1
1543140;0
1543288;1
1544335;0
1545196;1
1546027;0
1546388;1
1547388;0
1548269;1
1548806;0
1549510;1
1549953;0
1550964;1
1551241;0
1551867;1
1552752;0
1553178;1
1553611;0
1554627;1
1555292;0
1556456;1
1557199;0
1557658;1
1558343;0
1559288;1
1560201;0
1560790;1
1561385;0
1562403;1
1563470;0
1564512;1
1565368;0
1565489;1
1565769;0
1566887;1
1567636;0
1567798;1
1568948;0
1569182;1
1570029;0
1570581;1
1571388;0
1572081;1
1572673;0
1573246;1
1573438;0
1574433;1
1575381;0
1575974;1
1576906;0
1577069;1
1578057;0
1578390;1
1578921;0
1579784;1
1580555;0
1581555;1
1582005;0
1583032;1
1584206;0
1585335;1
1586016;0
1587123;1
1587663;0
1587920;1
1588421;0
1589210;1
1589998;0
1590118;1
1590886;0
1591259;1
1591547;0
1591887;1
1593031;0
1594002;1
1594577;0
1595206;1
1595491;0
1596069;1
1596367;0
1597203;1
1597319;0
1598517;1
1599151;0
1599507;1
1599635;0
1600631;1
1600907;0
1601172;1
1601334;0
1602251;1
1602884;0
1603657;1
1604138;0
1604967;1
1606063;0
1606994;1
1607544;0
1607865;1
1608008;0
1608221;1
1608568;0
1608689;1
1609798;0
1610369;1
1611119;0
1611677;1
1612312;0
1612937;1
1613196;0
1613875;1
1614554;0
1615467;1
1615639;0
1615857;1
1616189;0
1617384;1
1618069;0
1619263;1
1619952;0
1620919;1
1621687;0
1622226;1
1623242;0
1623660;1
1624620;0
1625426;1
1626567;0
1627324;1
1627434;0
1628562;1
1629539;0
1630658;1
1631289;0
1631713;1
1632003;0
1632586;1
1633451;0
1633795;1
1634114;0
1634250;1
1635222;0
1636298;1
1636964;0
1637988;1
1638506;0
1639299;1
1639544;0
1639945;1
1640661;0
1641548;1
1642488;0
1643646;1
1644343;0
1645108;1
1646120;0
1646784;1
1647240;0
1647762;1
1648959;0
1650150;1
1651214;0
1651813;1
1652299;0
1652653;1
1653227;0
1654135;1
1654499;0
1654689;1
1654789;0
1655667;1
1656773;0
1657180;1
1657784;0
1658886;1
1659352;0
1659957;1
1660636;0
1661372;1
1661567;0
1662278;1
1662972;0
1664153;1
1665145;0
1665702;1
1666693;0
1667527;1
1668203;0
1668726;1
1669732;0
1670124;1
1671287;0
1671901;1
1672189;0
1672759;1
1672995;0
1673386;1
1674067;0
1674980;1
1675370;0
1676553;1
1677079;0
1677917;1
1678485;0
1679054;1
1679979;0
1680721;1
1681576;0
1682081;1
1682961;0
1684032;1
1685028;0
1685361;1
1686479;0
1686954;1
1687487;0
1687959;1
1688992;0
1689561;1
1690632;0
1691334;1
1692450;0
1692710;1
1693674;0
1694856;1
1695397;0
1695552;1
1695661;0
1696775;1
1697340;0
1698027;1
1698331;0
1699439;1
1699790;0
1700793;1
1701885;0
1702603;1
1703597;0
1704010;1
1704573;0
1704764;1
1705024;0
